<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;1;251129;95900;304.32;304.32;304.32;304.32;3881
SBER;1;251129;100000;304.32;304.97;304.32;304.69;29363
SBER;1;251129;100100;304.69;304.75;304.51;304.71;14482
SBER;1;251129;100200;304.75;304.75;304.61;304.7;9851
SBER;1;251129;100300;304.7;304.7;304.51;304.63;24576
SBER;1;251129;100400;304.63;304.63;304.21;304.43;29636
SBER;1;251129;100500;304.43;304.49;304.42;304.49;1391
SBER;1;251129;100600;304.49;304.49;304.43;304.48;855
SBER;1;251129;100700;304.49;304.49;304.44;304.46;307
SBER;1;251129;100800;304.46;304.56;304.4;304.5;28519
SBER;1;251129;100900;304.5;304.59;304.49;304.58;448
SBER;1;251129;101000;304.58;304.62;304.58;304.62;1862
SBER;1;251129;101100;304.61;304.61;304.42;304.53;5244
SBER;1;251129;101200;304.5;304.53;304.36;304.4;13276
SBER;1;251129;101300;304.4;304.4;304.37;304.4;4701
SBER;1;251129;101400;304.4;304.49;304.37;304.47;288
SBER;1;251129;101500;304.37;304.47;304.37;304.47;87
SBER;1;251129;101600;304.37;304.47;304.37;304.4;145
SBER;1;251129;101700;304.37;304.39;304.36;304.37;2826
SBER;1;251129;101800;304.37;304.45;304.36;304.45;1916
SBER;1;251129;101900;304.45;304.45;304.36;304.4;98
SBER;1;251129;102000;304.39;304.43;304.36;304.43;120
SBER;1;251129;102100;304.41;304.41;304.37;304.41;126
SBER;1;251129;102200;304.4;304.42;304.36;304.42;422
SBER;1;251129;102300;304.4;304.42;304.4;304.4;53
SBER;1;251129;102400;304.42;304.42;304.4;304.41;1933
SBER;1;251129;102500;304.41;304.41;304.4;304.4;199
SBER;1;251129;102600;304.41;304.41;304.4;304.41;698
SBER;1;251129;102700;304.41;304.41;304.4;304.41;1430
SBER;1;251129;102800;304.41;304.41;304.34;304.39;3036
SBER;1;251129;102900;304.38;304.38;304.23;304.25;9049
SBER;1;251129;103000;304.24;304.24;304.23;304.23;871
SBER;1;251129;103100;304.24;304.24;304.23;304.24;1837
SBER;1;251129;103200;304.24;304.25;304.23;304.25;2135
SBER;1;251129;103300;304.24;304.25;304.23;304.23;2883
SBER;1;251129;103400;304.24;304.25;304.23;304.24;2707
SBER;1;251129;103500;304.25;304.25;304.24;304.24;545
SBER;1;251129;103600;304.25;304.25;304.24;304.25;174
SBER;1;251129;103700;304.25;304.34;304.24;304.34;2550
SBER;1;251129;103800;304.34;304.34;304.31;304.33;2420
SBER;1;251129;103900;304.33;304.33;304.25;304.33;149
SBER;1;251129;104000;304.26;304.34;304.26;304.34;229
SBER;1;251129;104100;304.34;304.34;304.3;304.3;1402
SBER;1;251129;104200;304.31;304.31;304.24;304.28;1618
SBER;1;251129;104300;304.28;304.28;304.24;304.28;312
SBER;1;251129;104400;304.25;304.28;304.24;304.25;777
SBER;1;251129;104500;304.24;304.28;304.24;304.25;1993
SBER;1;251129;104600;304.25;304.25;304.22;304.22;610
SBER;1;251129;104700;304.25;304.25;304.22;304.24;412
SBER;1;251129;104800;304.24;304.29;304.22;304.29;454
SBER;1;251129;104900;304.29;304.31;304.28;304.31;658
SBER;1;251129;105000;304.3;304.31;304.29;304.31;188
SBER;1;251129;105100;304.29;304.31;304.22;304.24;2701
SBER;1;251129;105200;304.24;304.24;304.2;304.24;9516
SBER;1;251129;105300;304.22;304.29;304.21;304.27;1239
SBER;1;251129;105400;304.22;304.29;304.22;304.29;193
SBER;1;251129;105500;304.22;304.27;304.21;304.25;3583
SBER;1;251129;105600;304.25;304.26;304.22;304.25;78
SBER;1;251129;105700;304.25;304.27;304.22;304.23;256
SBER;1;251129;105800;304.23;304.27;304.23;304.26;898
SBER;1;251129;105900;304.27;304.27;304.26;304.27;485
SBER;1;251129;110000;304.27;304.27;304.22;304.22;2561
SBER;1;251129;110100;304.23;304.23;304.22;304.22;5156
SBER;1;251129;110200;304.22;304.23;304.2;304.21;7954
SBER;1;251129;110300;304.2;304.21;304.2;304.21;1816
SBER;1;251129;110400;304.2;304.21;304.2;304.21;304
SBER;1;251129;110500;304.2;304.21;304.2;304.21;4707
SBER;1;251129;110600;304.21;304.21;304.1;304.11;4784
SBER;1;251129;110700;304.11;304.11;304.1;304.11;4058
SBER;1;251129;110800;304.11;304.11;304.1;304.11;2192
SBER;1;251129;110900;304.11;304.11;304.1;304.1;743
SBER;1;251129;111000;304.11;304.11;304.06;304.07;2101
SBER;1;251129;111100;304.07;304.07;304.06;304.07;7867
SBER;1;251129;111200;304.06;304.08;304.06;304.08;1187
SBER;1;251129;111300;304.08;304.11;304.06;304.07;943
SBER;1;251129;111400;304.07;304.1;304.06;304.1;92
SBER;1;251129;111500;304.06;304.07;304;304.04;34365
SBER;1;251129;111600;304.03;304.03;304;304.01;3117
SBER;1;251129;111700;304;304.01;304;304.01;481
SBER;1;251129;111800;304.01;304.05;304;304.05;116
SBER;1;251129;111900;304.05;304.05;304;304.03;213
SBER;1;251129;112000;304.03;304.03;304;304.01;1203
SBER;1;251129;112100;304.02;304.02;303.81;303.85;22470
SBER;1;251129;112200;303.89;303.9;303.85;303.87;85
SBER;1;251129;112300;303.9;303.9;303.87;303.87;177
SBER;1;251129;112400;303.9;303.9;303.87;303.88;176
SBER;1;251129;112500;303.89;303.97;303.87;303.97;7423
SBER;1;251129;112600;303.97;304;303.94;304;280
SBER;1;251129;112700;304;304.06;304;304.06;717
SBER;1;251129;112800;304.05;304.05;303.83;303.83;8108
SBER;1;251129;112900;303.93;303.93;303.84;303.85;37
SBER;1;251129;113000;303.91;303.93;303.87;303.93;166
SBER;1;251129;113100;303.93;303.93;303.88;303.88;1071
SBER;1;251129;113200;303.93;303.96;303.88;303.93;846
SBER;1;251129;113300;303.97;304;303.96;303.99;91
SBER;1;251129;113400;303.99;303.99;303.96;303.98;82
SBER;1;251129;113500;303.98;303.98;303.88;303.98;1093
SBER;1;251129;113600;303.9;303.98;303.9;303.98;47
SBER;1;251129;113700;303.98;303.99;303.97;303.98;448
SBER;1;251129;113800;303.98;304.02;303.91;304.01;432
SBER;1;251129;113900;303.97;304.04;303.97;304.01;376
SBER;1;251129;114000;304.04;304.05;304.01;304.05;3432
SBER;1;251129;114100;304.04;304.04;304.02;304.03;585
SBER;1;251129;114200;304.03;304.05;304.02;304.04;584
SBER;1;251129;114300;304.05;304.05;304.02;304.04;67
SBER;1;251129;114400;304.02;304.04;304.02;304.03;287
SBER;1;251129;114500;304.03;304.04;304.02;304.03;575
SBER;1;251129;114600;304.03;304.03;304.02;304.03;83
SBER;1;251129;114700;304.02;304.04;304.02;304.02;9888
SBER;1;251129;114800;304.04;304.06;304.01;304.05;28949
SBER;1;251129;114900;304.04;304.04;304.01;304.03;178
SBER;1;251129;115000;304.03;304.05;303.93;304;3146
SBER;1;251129;115100;304.01;304.01;304;304.01;329
SBER;1;251129;115200;304;304.01;303.96;303.96;224
SBER;1;251129;115300;304;304.01;303.97;304.01;65
SBER;1;251129;115400;304.01;304.01;304;304;490
SBER;1;251129;115500;304.01;304.01;304;304;1198
SBER;1;251129;115600;304;304;303.97;303.99;146
SBER;1;251129;115700;303.98;304.01;303.98;304.01;270
SBER;1;251129;115800;304.01;304.01;303.99;304.01;157
SBER;1;251129;115900;304.01;304.01;303.99;304.01;859
SBER;1;251129;120000;304.01;304.01;303.99;304;1402
SBER;1;251129;120100;304;304.01;304;304.01;124
SBER;1;251129;120200;304.01;304.03;304;304.01;283
SBER;1;251129;120300;304.02;304.03;304.01;304.03;217
SBER;1;251129;120400;304.03;304.04;304.01;304.03;246
SBER;1;251129;120500;304.04;304.04;304.01;304.01;199
SBER;1;251129;120600;304.04;304.04;304.01;304.03;392
SBER;1;251129;120700;304.01;304.04;304.01;304.02;322
SBER;1;251129;120800;304.04;304.04;304.02;304.03;863
SBER;1;251129;120900;304.04;304.04;304.03;304.04;223
SBER;1;251129;121000;304.03;304.04;304.03;304.04;627
SBER;1;251129;121100;304.04;304.04;304.02;304.03;931
SBER;1;251129;121200;304.03;304.03;304.02;304.03;384
SBER;1;251129;121300;304.03;304.03;304.01;304.03;891
SBER;1;251129;121400;304.03;304.03;304.01;304.03;46
SBER;1;251129;121500;304.01;304.03;304.01;304.01;2054
SBER;1;251129;121600;304.01;304.02;304.01;304.01;934
SBER;1;251129;121700;304;304.01;303.93;303.94;14899
SBER;1;251129;121800;303.94;303.94;303.93;303.94;62
SBER;1;251129;121900;303.94;303.99;303.9;303.91;5785
SBER;1;251129;122000;303.91;303.98;303.91;303.91;55
SBER;1;251129;122100;303.96;303.98;303.91;303.91;695
SBER;1;251129;122200;303.91;303.97;303.91;303.97;173
SBER;1;251129;122300;303.92;303.98;303.91;303.91;1758
SBER;1;251129;122400;303.97;303.97;303.9;303.92;244
SBER;1;251129;122500;303.91;303.97;303.9;303.97;286
SBER;1;251129;122600;303.96;303.98;303.93;303.98;72
SBER;1;251129;122700;303.94;303.98;303.94;303.95;134
SBER;1;251129;122800;303.97;303.98;303.94;303.97;110
SBER;1;251129;122900;303.97;303.98;303.94;303.98;559
SBER;1;251129;123000;303.98;303.98;303.97;303.98;208
SBER;1;251129;123100;303.98;303.98;303.97;303.98;162
SBER;1;251129;123200;303.98;303.98;303.94;303.94;359
SBER;1;251129;123300;303.97;304.07;303.94;303.99;40755
SBER;1;251129;123400;304.05;304.1;304.02;304.08;540
SBER;1;251129;123500;304.08;304.2;304.08;304.16;908
SBER;1;251129;123600;304.2;304.2;304.15;304.15;894
SBER;1;251129;123700;304.16;304.16;304.06;304.14;481
SBER;1;251129;123800;304.14;304.17;304.11;304.12;1934
SBER;1;251129;123900;304.17;304.17;304.1;304.13;1695
SBER;1;251129;124000;304.13;304.13;304.1;304.13;93
SBER;1;251129;124100;304.13;304.13;304.1;304.13;322
SBER;1;251129;124200;304.13;304.13;304.1;304.12;94
SBER;1;251129;124300;304.12;304.13;304.1;304.13;150
SBER;1;251129;124400;304.13;304.13;304.09;304.13;39
SBER;1;251129;124500;304.13;304.13;304.08;304.13;26
SBER;1;251129;124600;304.13;304.13;304.09;304.13;183
SBER;1;251129;124700;304.13;304.13;304.1;304.1;240
SBER;1;251129;124800;304.1;304.13;304.1;304.13;1293
SBER;1;251129;124900;304.13;304.13;304.1;304.1;583
SBER;1;251129;125000;304.13;304.13;304.09;304.13;417
SBER;1;251129;125100;304.09;304.13;304.09;304.09;24
SBER;1;251129;125200;304.09;304.13;304.09;304.13;82
SBER;1;251129;125300;304.09;304.1;304.07;304.07;771
SBER;1;251129;125400;304.09;304.13;304.09;304.12;116
SBER;1;251129;125500;304.12;304.12;304.07;304.1;504
SBER;1;251129;125600;304.1;304.11;304.07;304.11;187
SBER;1;251129;125700;304.11;304.12;304.11;304.12;967
SBER;1;251129;125800;304.12;304.12;304.11;304.12;382
SBER;1;251129;125900;304.12;304.12;304.11;304.12;118
SBER;1;251129;130000;304.12;304.12;304.08;304.12;3622
SBER;1;251129;130100;304.12;304.12;304.08;304.12;44
SBER;1;251129;130200;304.08;304.12;304.07;304.11;2124
SBER;1;251129;130300;304.08;304.11;304.07;304.11;73
SBER;1;251129;130400;304.1;304.1;304.07;304.1;274
SBER;1;251129;130500;304.1;304.1;304.07;304.08;19
SBER;1;251129;130600;304.08;304.1;304.04;304.08;865
SBER;1;251129;130700;304.05;304.07;304.04;304.04;45
SBER;1;251129;130800;304.07;304.07;304.04;304.04;501
SBER;1;251129;130900;304.04;304.05;304.04;304.05;268
SBER;1;251129;131000;304.05;304.05;304.04;304.05;144
SBER;1;251129;131100;304.04;304.05;304.04;304.04;54
SBER;1;251129;131200;304.05;304.06;304.04;304.04;520
SBER;1;251129;131300;304.04;304.04;304.01;304.03;329
SBER;1;251129;131400;304.01;304.03;304;304.03;619
SBER;1;251129;131500;304;304.03;304;304.03;175
SBER;1;251129;131600;304.03;304.04;304.03;304.04;806
SBER;1;251129;131700;304.04;304.04;304.04;304.04;976
SBER;1;251129;131800;304.04;304.1;304.04;304.06;543
SBER;1;251129;131900;304.06;304.11;304.06;304.1;100
SBER;1;251129;132000;304.11;304.11;304.06;304.11;42
SBER;1;251129;132100;304.07;304.11;304.06;304.07;5050
SBER;1;251129;132200;304.1;304.1;304.06;304.1;52
SBER;1;251129;132300;304.1;304.1;304.06;304.06;22
SBER;1;251129;132400;304.1;304.1;304.06;304.06;110
SBER;1;251129;132500;304.09;304.09;304.06;304.09;164
SBER;1;251129;132600;304.09;304.11;304.09;304.11;613
SBER;1;251129;132700;304.11;304.12;304.1;304.11;586
SBER;1;251129;132800;304.12;304.12;304.1;304.11;164
SBER;1;251129;132900;304.11;304.11;304.07;304.11;454
SBER;1;251129;133000;304.07;304.15;304.07;304.13;3331
SBER;1;251129;133100;304.13;304.22;304.13;304.17;3807
SBER;1;251129;133200;304.21;304.22;304.2;304.22;323
SBER;1;251129;133300;304.21;304.22;304.21;304.21;177
SBER;1;251129;133400;304.22;304.25;304.2;304.21;4303
SBER;1;251129;133500;304.24;304.24;304.2;304.24;177
SBER;1;251129;133600;304.24;304.24;304.2;304.24;322
SBER;1;251129;133700;304.24;304.24;304.2;304.21;46
SBER;1;251129;133800;304.24;304.25;304.21;304.21;1187
SBER;1;251129;133900;304.25;304.25;304.21;304.25;3650
SBER;1;251129;134000;304.26;304.26;304.21;304.22;200
SBER;1;251129;134100;304.26;304.26;304.13;304.15;10543
SBER;1;251129;134200;304.15;304.15;304.06;304.14;1176
SBER;1;251129;134300;304.14;304.15;303.99;303.99;3300
SBER;1;251129;134400;304.02;304.1;304.02;304.04;64
SBER;1;251129;134500;304.04;304.1;304.03;304.1;36
SBER;1;251129;134600;304.1;304.1;304.03;304.1;187
SBER;1;251129;134700;304.09;304.11;304.01;304.01;61
SBER;1;251129;134800;304.11;304.14;304.1;304.11;56
SBER;1;251129;134900;304.11;304.11;304.1;304.11;155
SBER;1;251129;135000;304.11;304.11;304.01;304.11;62
SBER;1;251129;135100;304.1;304.1;304.09;304.09;11
SBER;1;251129;135200;304.09;304.09;304.01;304.01;374
SBER;1;251129;135300;304.02;304.02;303.97;303.97;3746
SBER;1;251129;135400;303.97;304.05;303.96;303.98;408
SBER;1;251129;135500;303.96;303.98;303.96;303.97;43
SBER;1;251129;135600;303.97;303.98;303.96;303.97;1637
SBER;1;251129;135700;303.98;303.98;303.97;303.98;3023
SBER;1;251129;135800;304.08;304.09;303.99;304.09;1527
SBER;1;251129;135900;304.02;304.09;304.02;304.09;242
SBER;1;251129;140000;304.06;304.1;304.05;304.1;336
SBER;1;251129;140100;304.09;304.1;304.02;304.1;60
SBER;1;251129;140200;304.02;304.09;304;304.09;280
SBER;1;251129;140300;304.01;304.1;304.01;304.1;518
SBER;1;251129;140400;304.09;304.13;303.97;304.01;3971
SBER;1;251129;140500;304.02;304.1;304.01;304.02;2051
SBER;1;251129;140600;304.09;304.09;304.08;304.09;44
SBER;1;251129;140700;304.09;304.12;304;304.11;4264
SBER;1;251129;140800;304.08;304.12;304.04;304.11;3505
SBER;1;251129;140900;304.11;304.13;304.11;304.13;979
SBER;1;251129;141000;304.11;304.15;304.11;304.13;1661
SBER;1;251129;141100;304.13;304.13;304.11;304.12;4907
SBER;1;251129;141200;304.13;304.13;304.11;304.11;299
SBER;1;251129;141300;304.12;304.12;304.11;304.12;56
SBER;1;251129;141400;304.11;304.13;304.11;304.13;1268
SBER;1;251129;141500;304.11;304.11;304.05;304.08;110
SBER;1;251129;141600;304.08;304.1;304.08;304.1;488
SBER;1;251129;141700;304.11;304.13;303.92;303.92;20720
SBER;1;251129;141800;303.92;304.02;303.92;304.02;2196
SBER;1;251129;141900;304.02;304.03;303.96;304.01;376
SBER;1;251129;142000;304.01;304.01;303.96;303.96;61
SBER;1;251129;142100;304.01;304.02;303.96;304.02;245
SBER;1;251129;142200;304.02;304.02;303.99;304.02;78
SBER;1;251129;142300;304.02;304.04;304;304.02;1384
SBER;1;251129;142400;304.02;304.03;304.02;304.02;41
SBER;1;251129;142500;304.01;304.02;304.01;304.02;246
SBER;1;251129;142600;304.02;304.02;304.01;304.01;251
SBER;1;251129;142700;304.02;304.02;304.01;304.02;601
SBER;1;251129;142800;304.02;304.02;304;304;1133
SBER;1;251129;142900;304.02;304.02;303.92;303.92;3281
SBER;1;251129;143000;303.92;304.04;303.92;304.01;7044
SBER;1;251129;143100;304.01;304.01;303.92;303.92;7713
SBER;1;251129;143200;303.98;303.98;303.92;303.93;242
SBER;1;251129;143300;303.95;303.98;303.93;303.94;243
SBER;1;251129;143400;303.96;303.96;303.92;303.93;5245
SBER;1;251129;143500;303.93;303.93;303.9;303.93;7046
SBER;1;251129;143600;303.93;303.93;303.9;303.91;86
SBER;1;251129;143700;303.93;303.95;303.91;303.95;35
SBER;1;251129;143800;303.92;303.98;303.88;303.94;9684
SBER;1;251129;143900;303.94;303.94;303.89;303.89;624
SBER;1;251129;144000;303.9;303.9;303.89;303.9;961
SBER;1;251129;144100;303.9;303.95;303.89;303.95;20
SBER;1;251129;144200;303.95;303.96;303.9;303.96;83
SBER;1;251129;144300;303.96;303.96;303.87;303.9;2905
SBER;1;251129;144400;303.88;303.93;303.88;303.9;501
SBER;1;251129;144500;303.9;303.94;303.9;303.92;349
SBER;1;251129;144600;303.93;303.94;303.9;303.9;36
SBER;1;251129;144700;303.94;303.98;303.93;303.97;130
SBER;1;251129;144800;303.94;303.94;303.85;303.85;1595
SBER;1;251129;144900;303.92;303.93;303.88;303.93;46
SBER;1;251129;145000;303.89;303.93;303.89;303.89;72
SBER;1;251129;145100;303.89;303.89;303.88;303.89;339
SBER;1;251129;145200;303.89;303.89;303.88;303.89;296
SBER;1;251129;145300;303.89;303.89;303.88;303.89;436
SBER;1;251129;145400;303.89;303.89;303.88;303.89;2234
SBER;1;251129;145500;303.89;303.89;303.88;303.89;74
SBER;1;251129;145600;303.89;303.89;303.88;303.89;331
SBER;1;251129;145700;303.89;303.89;303.88;303.89;137
SBER;1;251129;145800;303.89;303.89;303.88;303.89;97
SBER;1;251129;145900;303.88;303.96;303.88;303.88;3085
SBER;1;251129;150000;303.98;303.98;303.88;303.9;253
SBER;1;251129;150100;303.9;303.94;303.9;303.9;168
SBER;1;251129;150200;303.91;303.94;303.9;303.94;1074
SBER;1;251129;150300;303.92;303.94;303.91;303.94;94
SBER;1;251129;150400;303.94;303.94;303.91;303.94;91
SBER;1;251129;150500;303.94;303.94;303.91;303.91;74
SBER;1;251129;150600;303.91;303.95;303.91;303.95;7916
SBER;1;251129;150700;303.95;303.98;303.94;303.94;800
SBER;1;251129;150800;303.98;304.05;303.95;304;5128
SBER;1;251129;150900;304;304;303.98;304;86
SBER;1;251129;151000;304;304;303.96;303.98;264
SBER;1;251129;151100;303.96;304.06;303.96;303.99;602
SBER;1;251129;151200;303.96;304;303.95;304;928
SBER;1;251129;151300;304;304.03;303.99;304;2296
SBER;1;251129;151400;304.03;304.03;304;304;812
SBER;1;251129;151500;304;304.03;304;304.03;410
SBER;1;251129;151600;304;304.03;304;304;369
SBER;1;251129;151700;304.03;304.03;304;304.03;376
SBER;1;251129;151800;304.03;304.05;304.03;304.03;656
SBER;1;251129;151900;304.05;304.05;304.03;304.03;83
SBER;1;251129;152000;304.04;304.05;304.03;304.05;4612
SBER;1;251129;152100;304.05;304.07;304.04;304.07;303
SBER;1;251129;152200;304.07;304.07;304.06;304.07;330
SBER;1;251129;152300;304.07;304.07;304.06;304.06;315
SBER;1;251129;152400;304.07;304.07;304.06;304.07;995
SBER;1;251129;152500;304.07;304.12;304.06;304.06;780
SBER;1;251129;152600;304.07;304.07;304.06;304.07;143
SBER;1;251129;152700;304.07;304.07;304.06;304.07;92
SBER;1;251129;152800;304.07;304.07;304.04;304.07;420
SBER;1;251129;152900;304.07;304.07;304.01;304.07;53
SBER;1;251129;153000;304.07;304.09;304.02;304.03;921
SBER;1;251129;153100;304.07;304.07;304.02;304.07;75
SBER;1;251129;153200;304.07;304.07;304.03;304.07;293
SBER;1;251129;153300;304.07;304.07;304.02;304.03;872
SBER;1;251129;153400;304.07;304.07;304.07;304.07;25
SBER;1;251129;153500;304.07;304.07;304.02;304.07;145
SBER;1;251129;153600;304.07;304.14;304.04;304.07;4690
SBER;1;251129;153700;304.05;304.11;304.05;304.11;392
SBER;1;251129;153800;304.11;304.15;304.09;304.09;5038
SBER;1;251129;153900;304.09;304.12;304.09;304.12;52
SBER;1;251129;154000;304.09;304.12;304.09;304.09;67
SBER;1;251129;154100;304.09;304.12;304.09;304.09;1085
SBER;1;251129;154200;304.12;304.12;304.04;304.1;1012
SBER;1;251129;154300;304.1;304.1;304.03;304.03;2866
SBER;1;251129;154400;304.06;304.22;304.03;304.1;10032
SBER;1;251129;154500;304.1;304.1;304.06;304.07;1447
SBER;1;251129;154600;304.06;304.1;304.06;304.1;89
SBER;1;251129;154700;304.07;304.16;304.07;304.1;433
SBER;1;251129;154800;304.13;304.13;304.02;304.08;454
SBER;1;251129;154900;304.11;304.19;304.03;304.15;2227
SBER;1;251129;155000;304.1;304.15;304.1;304.15;28
SBER;1;251129;155100;304.15;304.18;304.1;304.17;246
SBER;1;251129;155200;304.17;304.17;304.11;304.15;13
SBER;1;251129;155300;304.15;304.15;304.15;304.15;24
