epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6408,1.48382,2.04027,1.47261,0.65191,0.42414,0.46223,0.22502,1.74135,1.749,1.82605,0.000275994,0.000275994,0.000275994
2,54.498,1.52642,1.51824,1.49242,0.52987,0.46699,0.46214,0.23487,1.81666,2.23644,1.96323,0.00055092,0.00055092,0.00055092
3,74.7574,1.58428,1.55245,1.51822,0.58985,0.44213,0.49358,0.23859,1.85836,2.0978,1.9626,0.000823097,0.000823097,0.000823097
4,94.7793,1.59178,1.53761,1.54854,0.69191,0.45433,0.51523,0.24022,1.94776,1.85851,2.04893,0.00082063,0.00082063,0.00082063
5,114.741,1.55978,1.48214,1.51896,0.48219,0.51259,0.48746,0.23318,1.87732,1.97167,1.93708,0.000816507,0.000816507,0.000816507
6,134.777,1.53754,1.42515,1.50026,0.72365,0.47015,0.53786,0.25844,1.84622,1.66892,1.87714,0.000812383,0.000812383,0.000812383
7,155.764,1.50368,1.37766,1.4761,0.62313,0.61046,0.59127,0.30863,1.75025,1.65143,1.85094,0.00080826,0.00080826,0.00080826
8,176.411,1.48446,1.33581,1.47651,0.54313,0.55181,0.58225,0.2806,1.73921,1.59396,1.82584,0.000804137,0.000804137,0.000804137
9,196.907,1.49273,1.31495,1.46962,0.63908,0.50435,0.58658,0.2891,1.7032,1.50977,1.79347,0.000800013,0.000800013,0.000800013
10,217.449,1.48494,1.29909,1.46702,0.64535,0.58277,0.64504,0.32601,1.69008,1.42036,1.7726,0.00079589,0.00079589,0.00079589
11,238.247,1.46916,1.26345,1.44126,0.56519,0.62987,0.59188,0.29424,1.75223,1.58298,1.86166,0.000791767,0.000791767,0.000791767
12,259.339,1.44764,1.24844,1.44253,0.58236,0.58987,0.58486,0.30655,1.6745,1.52612,1.76092,0.000787643,0.000787643,0.000787643
13,280.324,1.43305,1.2188,1.43192,0.65979,0.64148,0.64726,0.34713,1.7089,1.47467,1.81907,0.00078352,0.00078352,0.00078352
14,301.108,1.39828,1.15987,1.40208,0.7131,0.65709,0.69257,0.36453,1.69453,1.33351,1.74981,0.000779396,0.000779396,0.000779396
15,321.967,1.41801,1.16378,1.40745,0.71169,0.60979,0.67356,0.34459,1.68688,1.31819,1.78579,0.000775273,0.000775273,0.000775273
16,342.753,1.4014,1.14565,1.40017,0.68761,0.63568,0.68439,0.35183,1.64994,1.44429,1.77082,0.00077115,0.00077115,0.00077115
17,363.062,1.39315,1.14929,1.4001,0.64167,0.63645,0.68013,0.34162,1.67776,1.346,1.75415,0.000767026,0.000767026,0.000767026
18,383.545,1.38892,1.12406,1.39612,0.76751,0.56697,0.67549,0.35446,1.60754,1.28016,1.69397,0.000762903,0.000762903,0.000762903
19,404.619,1.3813,1.08547,1.37797,0.70493,0.66025,0.67598,0.36492,1.62442,1.26299,1.69841,0.00075878,0.00075878,0.00075878
20,425.587,1.37371,1.09351,1.38441,0.76913,0.60797,0.67472,0.36285,1.60349,1.27473,1.71083,0.000754656,0.000754656,0.000754656
21,447.509,1.35642,1.07237,1.3763,0.67267,0.64537,0.6835,0.35607,1.62194,1.29463,1.72412,0.000750533,0.000750533,0.000750533
22,469.274,1.35616,1.0716,1.37756,0.61396,0.73721,0.7162,0.37776,1.6222,1.27462,1.69584,0.00074641,0.00074641,0.00074641
23,490.729,1.35303,1.05053,1.36948,0.68926,0.71711,0.72375,0.3886,1.6254,1.23621,1.70429,0.000742286,0.000742286,0.000742286
24,511.057,1.34385,1.0385,1.34845,0.69066,0.66307,0.67497,0.35894,1.54229,1.19736,1.61958,0.000738163,0.000738163,0.000738163
25,531.588,1.33409,1.03034,1.34419,0.79614,0.64807,0.73881,0.39073,1.56115,1.19251,1.62507,0.00073404,0.00073404,0.00073404
26,553.846,1.32973,1.04736,1.35547,0.78047,0.62555,0.72745,0.38362,1.6297,1.16831,1.68552,0.000729916,0.000729916,0.000729916
27,575.241,1.32235,1.00518,1.3339,0.75456,0.71317,0.77231,0.39012,1.56777,1.12577,1.64117,0.000725793,0.000725793,0.000725793
28,595.91,1.32605,1.01361,1.34866,0.67735,0.74426,0.76325,0.41138,1.57568,1.10781,1.64554,0.00072167,0.00072167,0.00072167
29,616.823,1.29846,0.9777,1.33704,0.69947,0.68225,0.71472,0.3737,1.62126,1.13065,1.7167,0.000717546,0.000717546,0.000717546
30,638.467,1.30738,0.98056,1.33657,0.69711,0.70576,0.73857,0.38209,1.60759,1.09397,1.66987,0.000713423,0.000713423,0.000713423
