<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
021224;237.09;238.7;234.32;235.17;45050170
031224;235.29;235.97;230.26;230.8;45313800
041224;231.05;233.79;224.3;224.55;72374990
051224;224.6;233.75;222.82;233.48;86902200
061224;233.63;238.25;231.52;237.84;81003410
091224;239.27;240.51;236.75;237.29;52314320
101224;238;238.01;230.65;230.82;58548350
111224;230.5;234.39;229.22;234.19;64817940
121224;234;235.95;228.52;229.02;59118900
131224;228.89;231.33;227.85;228.7;46091280
161224;228.6;229.05;224.38;225.53;54519260
171224;225.58;227.49;223.72;226.5;45827690
181224;226.72;230.8;224.33;230.15;58002020
191224;230.17;234.99;227.71;229;123831990
201224;229.32;258.98;228.03;257.6;235163880
231224;260;270;256.51;264.9;162588610
241224;264.93;266.79;261.02;264.34;83747800
251224;263.64;273;260.31;271.69;125501440
261224;272.02;274.25;269.1;269.56;75523970
271224;269.69;272.16;268.57;271.2;52121690
281224;271.37;273.99;270.4;272.83;39560080
301224;273.99;279.49;273.7;279.43;52353840
030125;279.99;280.41;271.8;272.25;42928720
060125;270.88;274.41;270.07;274.37;28260720
080125;273.39;277.87;273.09;277;26185200
090125;276.89;278.77;270.73;271.8;52866520
100125;272.32;279.53;270.27;278.77;71104590
130125;280.65;284.75;278.6;279.8;66252420
140125;279.82;282.36;277.41;279.85;45983040
150125;280;282.82;276.06;282.77;52822640
160125;283.72;284;281.18;281.8;49321630
170125;282.2;284.64;280.19;283.53;51815780
200125;285.11;286.23;277.61;278.19;67543880
210125;279.39;281.85;276.32;281.85;40374630
220125;281.94;284;280.2;280.36;47032130
230125;280.79;280.79;277.35;280.49;38509890
240125;281;282.75;279.25;280.74;32083360
270125;280.72;280.97;275.01;275.23;39028630
280125;275.25;279.26;274.01;278.35;39024990
290125;277.95;282.18;277.12;280.36;39150990
300125;280.37;282.5;280.36;281.97;28018670
310125;281.83;284.11;280.27;280.73;40327370
030225;280.21;280.35;278;279.55;30335260
040225;279.55;281.41;275.7;277.4;23982810
050225;277.3;283.89;275.34;282.88;43063150
060225;283.89;288.92;282.09;287.15;69290140
070225;287.66;288.9;285.08;285.81;27610110
100225;287.64;294.55;287.61;289.94;72903060
110225;290.42;294.1;289.3;294.06;55991750
120225;294.3;314.4;291.3;314;185802940
130225;315.61;318.72;307.2;310.1;116571990
140225;315.59;317.84;303.06;309.87;126690930
170225;314;319.55;312.31;319.5;84607980
180225;319.9;320.92;310.21;312.95;84855800
190225;313.53;317.25;311.01;315.91;50473290
200225;315.91;317.96;314.02;315.05;33153140
210225;315.48;316.69;312;314.74;32724140
240225;314.93;316.4;313;316.03;35706150
250225;316.03;318.59;315.62;316.97;38812180
260225;317;317.45;308.31;310.22;73822090
270225;310.22;312.45;305.43;307.1;60919290
280225;306.01;310.4;304.05;309.63;65631160
010325;309.84;310.94;309.47;310.11;1138430
020325;309.5;309.63;306.8;307.44;1885110
030325;306.45;307.92;300.2;305.5;66383120
040325;306.43;318.5;306.14;316.4;88099480
050325;316.5;318.3;313;313.56;57710050
060325;313.63;317.43;313.57;315.18;31957120
070325;315.3;321.87;310.69;316.92;110870150
100325;317;320.63;316.37;317.57;39294670
110325;317.78;321.98;315.57;319.69;64926270
120325;319.8;320.9;315.8;318.39;41920410
130325;318.39;320.5;312.5;316.37;78546460
140325;315.91;321.1;314.12;320.51;51691040
150325;320.69;321.3;319.82;320.74;1455280
160325;320.52;323.5;320.52;323.44;5680630
170325;323.45;326.97;322.62;326.02;58625040
180325;326.19;329.77;323.82;324.06;72941970
190325;324.49;326.88;322.3;325.3;39792530
200325;325.41;326;321.8;324.05;42352140
210325;324;326.08;322.15;323.26;28693860
240325;323.26;323.94;318.51;319.47;33031030
250325;320;322.2;314.65;319.8;48324870
260325;320;320.88;315.01;315.23;20575860
270325;315.8;317.16;311.95;311.96;36144680
280325;311.95;313.65;305.65;308.04;51856020
290325;307.8;308.3;302.64;303.89;5739820
300325;303.2;305.3;298.8;299.22;9158830
310325;300.07;310.88;300;309.72;48301070
010425;310.01;312.9;302.7;303.24;46073820
020425;303.22;306.5;301.21;306.11;40192400
030425;306.28;309.2;296;302.09;52379750
040425;303.55;304.37;284.4;285.35;88534980
050425;285.25;287.03;280.11;284.98;14100160
060425;285.35;290.47;284.22;290.35;8755880
070425;285.3;294;275.76;287.56;125059850
080425;290;294.66;281.5;282.03;65473560
090425;280.91;294.48;276.33;293.4;109320240
100425;294.09;296.75;288.27;292.46;62750700
110425;292.8;300.48;292.8;299.81;50415310
120425;300.18;301.8;300.03;300.95;4615240
130425;300.88;301.99;300.01;301.49;4079210
140425;301.49;302.4;295.13;296.5;34689330
150425;296.51;300.45;295.6;297.99;24246330
160425;298.09;303.3;296.06;300.8;30083090
170425;301;305.07;300.41;304.8;37528700
180425;302.7;303.85;296.25;300.01;46057000
210425;302.67;308.7;301.76;308.12;51188620
220425;308.5;315;306.55;312.25;64466770
230425;313;314.98;305.55;310;58824230
240425;310.78;312.8;309.09;310.16;24105720
250425;310.89;317.87;310.71;316.69;51669060
260425;318.42;320.26;317;317.58;9511000
270425;318.2;318.97;317.39;318.18;2238080
280425;318.36;320;313.52;314.23;52304570
290425;314.94;315.45;308.1;309.41;30218510
300425;309.4;309.95;303.12;307.8;41262390
020525;307.73;307.73;299.7;299.96;19718480
030525;299.9;302.24;299.52;300.7;2942530
040525;300.7;302.78;300.02;301.8;2867700
050525;301.82;302.59;291.66;294.64;45487870
060525;294.65;304.75;292.05;302.02;49317710
070525;302.51;304.24;300.56;302.79;29655240
080525;302.99;306;300.61;302.15;20809880
100525;303.53;304;301.7;302.38;2084470
110525;305.85;307.64;304.55;305.48;8172680
120525;307.55;311.49;307.26;310.81;34653810
130525;310.8;312.5;309.61;311.24;24729810
140525;311.5;313.71;304.04;304.21;27149310
150525;304.21;307.77;300.49;304.72;47415670
160525;304.71;308.88;296.56;306.34;63950560
170525;306.34;309.48;306.01;308.89;4795590
180525;309.67;311.86;309.3;311.15;5402510
190525;311.48;313;306.34;308.33;44482040
200525;308.88;309.55;304.7;306.16;19804720
210525;306.18;307.56;302.89;303.98;20454350
220525;304.03;305.6;299.17;302.66;35011620
230525;302.8;305;301.33;302.22;17168890
260525;302.23;302.49;295.5;297.77;34610630
270525;297.68;299.9;293.08;298.7;25752260
280525;299.06;308.82;299;308.47;47995510
290525;308.65;309.95;305.66;306.65;24021920
300525;306.5;310.29;305.01;309.3;21903940
310525;309.31;309.84;308.31;308.74;1459500
010625;308.69;308.69;300.51;303.14;11904960
020625;302.6;311.99;302;309.63;41186650
030625;309.7;314.88;309.39;313.55;34901410
040625;314.04;318.29;311.17;313.23;53773500
050625;313.78;318.59;313.53;317.96;28353280
060625;318.35;325.43;312.52;313.13;102005180
070625;314;314.95;313.72;314.65;2022260
080625;314.66;314.88;313.61;314.35;1618500
090625;314.7;315.51;310;311.17;30107660
